Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
38	Andrena_nana	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
37	Andrena_nana	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
16	Andrena_vulpecula	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
35	Andrena_vulpecula	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	2
8	Ceratina_cyanea	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
21	Halictus_smaragdalus	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
15	Halictus_smaragdalus	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
18	Halictus_smaragdalus	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
34	Hylaeus_garrulus	Bee	Small_bee	Short-tongued_medium-sized_bees	DPE	1
18	Hylaeus_garrulus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
8	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
21	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
18	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	4
29	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
33	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
38	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	2
4	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
6	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	2
9	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
20	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
18	Hylaeus_sp_1	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
24	Lasioglossum_bimaculatum	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
21	Lasioglossum_bimaculatum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
22	Lasioglossum_bimaculatum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
8	Lasioglossum_ibericum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
16	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	OLA	1
3	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
12	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
16	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
30	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
34	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
37	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
39	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	CSA	2
14	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
36	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
34	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
36	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
37	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
33	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	CSA	2
18	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	FLA	1
20	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
35	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	HOE	1
12	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
13	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
14	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
23	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
24	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
28	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
31	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	2
32	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
33	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
36	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
37	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
38	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
39	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
12	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	6
32	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
37	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
39	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
29	Nomada_flavoguttata	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
30	Nomada_flavoguttata	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
22	Nomada_succinta	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
36	Nomada_succinta	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
38	Nomada_succinta	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
24	Osmia_gallarum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
