Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	eficient	Nom_planta	Codi_planta	Plant	Frequencia
19	1.92	41.31	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	2
38	1.88	41.27	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
3	1.9	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	5
4	1.88	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
5	1.87	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	3
8	1.87	41.3	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
9	1.9	41.32	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
10	1.91	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
12	1.92	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	3
14	1.93	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	5
18	1.9	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	2
19	1.92	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
20	1.91	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
21	1.88	41.3	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	3
28	1.93	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
31	1.85	41.3	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
38	1.88	41.27	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
4	1.88	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	4
8	1.87	41.3	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.9	41.32	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	2
