Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
20	1.91	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
21	1.88	41.30	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	3
28	1.93	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
31	1.85	41.30	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
38	1.88	41.27	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
4	1.88	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	4
8	1.87	41.30	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.90	41.32	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	2
8	1.87	41.30	Nomada_1	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
5	1.87	41.28	Nomada_sheppardana	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
3	1.90	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
5	1.87	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
6	1.86	41.29	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
8	1.87	41.30	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
17	1.92	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
18	1.90	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
21	1.88	41.30	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
24	1.92	41.31	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
32	1.87	41.28	Andrena_angustior_impressa	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
