Parcela	Nom_definitiu	Codi_planta	Frequencia
20	Mosca_14	ROF	2
29	Mosca_14	ECH	1
20	Mosca_15	ROF	4
24	Mosca_15	ECH	4
24	Mosca_15	ROF	1
29	Mosca_15	ECH	4
33	Mosca_16	TVUF	1
38	Mosca_16	TVUF	1
38	Mosca_16	TVUH	1
37	Mosca_17	TVUH	1
38	Mosca_17	TVUF	1
38	Mosca_18	TVUF	3
20	Mosca_19	ROF	1
37	Mosca_20	TVUH	1
16	Mosca_3	TVUH	1
31	Mosca_3	ROF	1
36	Mosca_3	TVUF	1
39	Mosca_3	ROF	1
1	Mosca_7	TVUH	1
37	Mosca_7	TVUF	1
38	Mosca_7	TVUF	1
38	Mosca_7	TVUH	5
34	Mosca_8	TVUF	1
2	Mosca_9	ROF	4
19	Mosca_9	ECH	1
19	Mosca_9	ROF	1
20	Mosca_9	ROF	1
29	Mosca_9	ECH	1
30	Mosca_9	TVUF	1
19	Mosca_mitjana_1	TVUF	1
35	Mosca_mitjana_1	TVUF	1
17	Mosca_mitjana-gran_1	TVUH	1
35	Mosca_normal_1	TVUF	1
2	Mosca_petita_1	ROF	1
5	Mosca_petita_2	TVUH	1
28	Mosca_petita_3	ROF	1
40	Mosca_poc_peluda_1	ROF	1
19	Mosca_prima_1	ROF	1
19	Mosca_taques_ales_1	EFL	1
30	Moth_1	TVUH	1
35	Musca_1	TVUF	1
8	Nomada_1	TVUF	1
29	Nomada_flavoguttata	TVUF	1
30	Nomada_flavoguttata	TVUF	1
5	Nomada_sheppardana	TVUF	1
22	Nomada_succinta	TVUF	1
36	Nomada_succinta	TVUF	1
38	Nomada_succinta	TVUH	1
9	Oedemera_flavipes	RGR	1
15	Oedemera_flavipes	TVUH	1
21	Oedemera_flavipes	BLA	2
21	Oedemera_flavipes	POT	1
21	Oedemera_flavipes	ROF	1
24	Osmia_gallarum	ROF	1
8	Osmia_rufohirta	FAB	1
17	Osmia_rufohirta	TVUF	1
20	Osmia_rufohirta	HOE	1
1	Oxythyrea_funesta	CAL	2
2	Oxythyrea_funesta	ROF	1
3	Oxythyrea_funesta	ROF	1
5	Oxythyrea_funesta	ROF	1
6	Oxythyrea_funesta	CSA	1
7	Oxythyrea_funesta	CSP	1
8	Oxythyrea_funesta	ROF	3
9	Oxythyrea_funesta	CSA	1
9	Oxythyrea_funesta	RGR	2
11	Oxythyrea_funesta	ROF	1
13	Oxythyrea_funesta	PRUNUS	1
14	Oxythyrea_funesta	ROF	1
15	Oxythyrea_funesta	ECH	2
15	Oxythyrea_funesta	ROF	2
16	Oxythyrea_funesta	ROF	1
20	Oxythyrea_funesta	AMO	2
20	Oxythyrea_funesta	ROF	1
22	Oxythyrea_funesta	ROF	2
23	Oxythyrea_funesta	ROF	2
25	Oxythyrea_funesta	ROF	1
26	Oxythyrea_funesta	TVUH	1
30	Oxythyrea_funesta	ROF	1
31	Oxythyrea_funesta	ROF	4
32	Oxythyrea_funesta	CSA	1
34	Oxythyrea_funesta	ROF	1
36	Oxythyrea_funesta	ROF	3
37	Oxythyrea_funesta	CAL	1
37	Oxythyrea_funesta	CSA	1
38	Oxythyrea_funesta	ROF	1
39	Oxythyrea_funesta	CSA	3
39	Oxythyrea_funesta	ROF	1
40	Oxythyrea_funesta	ROF	1
34	Paragus_tibialis	TVUF	1
34	Paragus_tibialis	TVUH	1
35	Paragus_tibialis	HOE	1
25	Pieris_rapae	ROF	1
35	Platynochaetus_setosus	TVUH	1
12	Polistes_gallicus	TVUF	1
16	Polistes_gallicus	EFL	1
36	Polistes_gallicus	TVUF	2
20	Pompilidae	ROF	1
1	Pseudophilotes_panoptes	TVUF	1
2	Pseudophilotes_panoptes	TVUH	1
4	Pseudophilotes_panoptes	TVUF	1
8	Pseudophilotes_panoptes	TVUF	1
13	Pseudophilotes_panoptes	TVUF	1
14	Pseudophilotes_panoptes	TVUF	1
16	Pseudophilotes_panoptes	TVUF	1
16	Pseudophilotes_panoptes	TVUH	1
19	Pseudophilotes_panoptes	TVUF	4
21	Pseudophilotes_panoptes	TVUH	1
22	Pseudophilotes_panoptes	TVUH	1
23	Pseudophilotes_panoptes	TVUF	1
29	Pseudophilotes_panoptes	TVUF	1
29	Pseudophilotes_panoptes	TVUH	3
30	Pseudophilotes_panoptes	TVUF	2
32	Pseudophilotes_panoptes	TVUH	1
34	Pseudophilotes_panoptes	HOE	1
34	Pseudophilotes_panoptes	TVUF	1
36	Pseudophilotes_panoptes	TVUF	1
36	Pseudophilotes_panoptes	TVUH	1
37	Pseudophilotes_panoptes	TVUH	1
40	Pseudophilotes_panoptes	TVUF	1
37	Pterophoridae	TVUH	1
8	Rodanthidium_sticticum	HOE	1
8	Rodanthidium_sticticum	ROF	1
11	Rodanthidium_sticticum	ROF	1
14	Rodanthidium_sticticum	ROF	1
15	Rodanthidium_sticticum	OLA	1
17	Rodanthidium_sticticum	HOE	1
20	Rodanthidium_sticticum	OLA	1
22	Rodanthidium_sticticum	OLA	1
31	Rodanthidium_sticticum	ROF	1
34	Rodanthidium_sticticum	OLA	3
34	Rodanthidium_sticticum	TVUF	2
35	Rodanthidium_sticticum	HOE	1
38	Rodanthidium_sticticum	AZA	1
38	Rodanthidium_sticticum	FLA	1
38	Rodanthidium_sticticum	OLA	1
39	Rodanthidium_sticticum	ROF	1
4	Sarcophagidae_1	TVUF	1
13	Sarcophagidae_1	TVUF	1
13	Sarcophagidae_1	TVUH	1
24	Sarcophagidae_1	EFL	1
24	Sarcophagidae_1	ROF	1
32	Sarcophagidae_1	TVUH	1
38	Sarcophagidae_1	TVUF	1
27	Sarcophagidae_2	TVUH	1
34	Sarcophagidae_3	TVUH	1
9	Sarcophagidae_4	TVUF	1
14	Sarcophagidae_4	TVUF	1
16	Sarcophagidae_4	TVUF	2
19	Sarcophagidae_4	EFL	1
19	Sarcophagidae_4	ROF	1
21	Sarcophagidae_4	ROF	1
21	Sarcophagidae_4	TVUF	1
34	Sarcophagidae_4	TVUF	1
34	Sarcophagidae_4	TVUH	1
36	Sarcophagidae_4	TVUH	1
31	Sarcophagidae_5	TVUF	1
34	Sarcophagidae_5	TVUF	1
36	Sarcophagidae_5	TVUF	1
36	Sarcophagidae_5	TVUH	1
38	Sarcophagidae_5	TVUF	1
8	Sarcophagidae_6	TVUH	1
32	Sarcophagidae_6	TVUH	1
1	Scaeva_albomaculata	ROF	1
14	Scatophagidae??	ROF	1
24	Scatophagidae??	ECH	1
7	Smaragdina_diversipes	CSP	1
17	Smaragdina_diversipes	CSP	1
8	Sphecodes	ROF	1
2	Stratyomidae_1	ROF	1
2	Stratyomidae_2	TVUH	1
35	Stratyomidae_3	TVUH	1
20	Symphyta	ROF	1
17	Syritta_pipiens	EFL	1
3	Syrphidae_1	ROF	1
24	Syrphidae_1	ECH	1
29	Syrphidae_2	EFL	1
7	Tachinidae_1	ROF	1
20	Tachinidae_2	ROF	1
7	Tropinota_squalida	ROF	1
7	Tropinota_squalida	TVUF	1
37	Tropinota_squalida	ROF	1
39	Tropinota_squalida	CSA	4
39	Tropinota_squalida	ROF	2
38	Vespa_parasita_negra_potes_taronja	TVUF	1
