	AMO	AZA	BLA	CAL	CSA	CSP	DPE	ECH	EFL	EMU	ESE	FAB	FLA	HOE	LIN	OLA	POT	PRUNUS	RGR	ROF	SHI	TVU	UMBE
Nomada_sheppardana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Nomada_succinta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Oedemera_flavipes	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
Osmia_gallarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Osmia_rufohirta	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
Oxythyrea_funesta	2	0	0	3	7	1	0	2	0	0	0	0	0	0	0	0	0	1	2	29	0	1	0
Paragus_tibialis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
Pieris_rapae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Platynochaetus_setosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Polistes_gallicus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Pompilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pseudophilotes_panoptes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	27	0
Pterophoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rodanthidium_sticticum	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	7	0	0	0	5	0	2	0
Sarcophagidae_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0
Sarcophagidae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sarcophagidae_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sarcophagidae_4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	8	0
Sarcophagidae_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Sarcophagidae_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Scaeva_albomaculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Scatophagidae??	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Smaragdina_diversipes	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphecodes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Stratyomidae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Stratyomidae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Stratyomidae_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Symphyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Syritta_pipiens	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syrphidae_1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Syrphidae_2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tachinidae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tachinidae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tropinota_squalida	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Vespa_parasita_negra_potes_taronja	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
