Parcela	Nom_definitiu	forager	Plant	Frequencia
13	Chamaesyrphus	lineal	ROF	1
17	Chamaesyrphus	lineal	ROF	1
8	Chamaesyrphus	lineal	TVU	2
11	Chamaesyrphus	lineal	TVU	1
33	Chamaesyrphus	lineal	TVU	1
17	Chamaesyrphus	lineal	TVU	1
38	Chamaesyrphus	lineal	TVU	1
5	Chrysotoxum_cautum	lineal	EFL	1
16	Chrysotoxum_cautum	lineal	EFL	1
19	Chrysotoxum_cautum	lineal	EFL	1
37	Chrysotoxum_cautum	lineal	EFL	1
37	Chrysotoxum_cautum	lineal	ESE	2
4	Chrysotoxum_cautum	lineal	ROF	1
10	Chrysotoxum_cautum	lineal	ROF	1
14	Chrysotoxum_cautum	lineal	ROF	1
19	Chrysotoxum_cautum	lineal	ROF	1
23	Chrysotoxum_cautum	lineal	ROF	1
31	Chrysotoxum_cautum	lineal	ROF	1
37	Chrysotoxum_cautum	lineal	ROF	1
15	Chrysotoxum_cautum	lineal	TVU	1
37	Chrysotoxum_cautum	lineal	TVU	1
12	Chrysotoxum_cautum	lineal	TVU	1
31	Chrysotoxum_cautum	lineal	TVU	1
13	Chrysotoxum_intermedium	lineal	TVU	1
6	Epysirphus_balteatus	lineal	ROF	1
35	Eristalinus_aeneus	lineal	TVU	1
1	Eristalis_tenax	lineal	TVU	1
32	Merodon	lineal	TVU	1
35	Paragus_tibialis	lineal	HOE	1
34	Paragus_tibialis	lineal	TVU	1
34	Paragus_tibialis	lineal	TVU	1
35	Platynochaetus_setosus	lineal	TVU	1
1	Scaeva_albomaculata	lineal	ROF	1
17	Syritta_pipiens	lineal	EFL	1
24	Syrphidae_1	lineal	ECH	1
3	Syrphidae_1	lineal	ROF	1
29	Syrphidae_2	lineal	EFL	1
1	Bibio_sp	lineal	ROF	1
2	Bibio_sp	lineal	ROF	2
3	Bibio_sp	lineal	ROF	52
4	Bibio_sp	lineal	ROF	16
5	Bibio_sp	lineal	ROF	4
7	Bibio_sp	lineal	ROF	1
12	Bibio_sp	lineal	ROF	16
14	Bibio_sp	lineal	ROF	3
26	Bibio_sp	lineal	ROF	3
27	Bibio_sp	lineal	ROF	1
30	Bibio_sp	lineal	ROF	1
24	Calliphoridae_3	lineal	ROF	2
7	Calliphoridae_3	lineal	TVU	1
30	Conòpid_llarg_vermell	lineal	ROF	1
28	Dipter_2	lineal	EFL	1
31	Dipter_blanc	lineal	OLA	1
33	Dipter_elipse_1	lineal	CSA	2
19	Dipter_gran_1	lineal	EFL	1
21	Dipter_molt_llarg,_mes_que_apis,_ales_fosques,_grisos	lineal	ROF	1
7	Empididae_2	lineal	ROF	1
9	Empididae_2	lineal	ROF	1
19	Empididae_2	lineal	ROF	1
22	Empididae_2	lineal	ROF	2
36	Empididae_2	lineal	TVU	1
37	Fals_conòpid	lineal	EFL	2
11	Fals_conòpid	lineal	TVU	1
36	Fals_conòpid	lineal	TVU	1
38	Fals_conòpid	lineal	TVU	1
36	Fals_conòpid	lineal	TVU	1
38	Fals_conòpid	lineal	TVU	4
38	Lucilia	lineal	TVU	1
1	Mosca_1	lineal	TVU	1
3	Mosca_11	lineal	ROF	3
29	Mosca_14	lineal	ECH	1
19	Mosca_14	lineal	ROF	1
20	Mosca_14	lineal	ROF	2
24	Mosca_15	lineal	ECH	4
29	Mosca_15	lineal	ECH	4
20	Mosca_15	lineal	ROF	4
24	Mosca_15	lineal	ROF	1
33	Mosca_16	lineal	TVU	1
38	Mosca_16	lineal	TVU	1
38	Mosca_16	lineal	TVU	1
38	Mosca_17	lineal	TVU	1
37	Mosca_17	lineal	TVU	1
38	Mosca_18	lineal	TVU	3
20	Mosca_19	lineal	ROF	1
37	Mosca_20	lineal	TVU	1
31	Mosca_3	lineal	ROF	1
39	Mosca_3	lineal	ROF	1
36	Mosca_3	lineal	TVU	1
16	Mosca_3	lineal	TVU	1
37	Mosca_7	lineal	TVU	1
38	Mosca_7	lineal	TVU	1
1	Mosca_7	lineal	TVU	1
38	Mosca_7	lineal	TVU	5
34	Mosca_8	lineal	TVU	1
19	Mosca_9	lineal	ECH	1
29	Mosca_9	lineal	ECH	1
2	Mosca_9	lineal	ROF	4
19	Mosca_9	lineal	ROF	2
20	Mosca_9	lineal	ROF	1
30	Mosca_9	lineal	TVU	1
19	Mosca_mitjana_1	lineal	TVU	1
35	Mosca_mitjana_1	lineal	TVU	1
17	Mosca_mitjana-gran_1	lineal	TVU	1
35	Mosca_normal_1	lineal	TVU	1
40	Mosca_poc_peluda_1	lineal	ROF	1
19	Mosca_prima_1	lineal	ROF	1
19	Mosca_taques_ales_1	lineal	EFL	1
35	Musca_1	lineal	TVU	1
24	Sarcophagidae_1	lineal	EFL	1
24	Sarcophagidae_1	lineal	ROF	1
4	Sarcophagidae_1	lineal	TVU	1
13	Sarcophagidae_1	lineal	TVU	1
38	Sarcophagidae_1	lineal	TVU	1
13	Sarcophagidae_1	lineal	TVU	1
32	Sarcophagidae_1	lineal	TVU	1
27	Sarcophagidae_2	lineal	TVU	1
34	Sarcophagidae_3	lineal	TVU	1
19	Sarcophagidae_4	lineal	EFL	1
19	Sarcophagidae_4	lineal	ROF	1
21	Sarcophagidae_4	lineal	ROF	1
9	Sarcophagidae_4	lineal	TVU	1
14	Sarcophagidae_4	lineal	TVU	1
16	Sarcophagidae_4	lineal	TVU	2
21	Sarcophagidae_4	lineal	TVU	1
34	Sarcophagidae_4	lineal	TVU	1
34	Sarcophagidae_4	lineal	TVU	1
36	Sarcophagidae_4	lineal	TVU	1
31	Sarcophagidae_5	lineal	TVU	1
34	Sarcophagidae_5	lineal	TVU	1
36	Sarcophagidae_5	lineal	TVU	1
38	Sarcophagidae_5	lineal	TVU	1
36	Sarcophagidae_5	lineal	TVU	1
8	Sarcophagidae_6	lineal	TVU	1
32	Sarcophagidae_6	lineal	TVU	1
24	Scatophagidae??	lineal	ECH	1
14	Scatophagidae??	lineal	ROF	1
2	Stratyomidae_1	lineal	ROF	1
2	Stratyomidae_2	lineal	TVU	1
35	Stratyomidae_3	lineal	TVU	1
7	Tachinidae_1	lineal	ROF	1
20	Tachinidae_2	lineal	ROF	1
33	Empididae	lineal	CSA	1
24	Empididae	lineal	EFL	1
35	Empididae	lineal	EFL	1
24	Empididae	lineal	HOE	1
29	Empididae	lineal	HOE	1
2	Empididae	lineal	TVU	1
3	Empididae	lineal	TVU	5
7	Empididae	lineal	TVU	3
11	Empididae	lineal	TVU	2
21	Empididae	lineal	TVU	1
23	Empididae	lineal	TVU	2
28	Empididae	lineal	TVU	1
29	Empididae	lineal	TVU	2
30	Empididae	lineal	TVU	1
32	Empididae	lineal	TVU	1
33	Empididae	lineal	TVU	2
38	Empididae	lineal	TVU	1
9	Empididae	lineal	TVU	2
24	Empididae	lineal	TVU	2
27	Empididae	lineal	TVU	1
29	Empididae	lineal	TVU	2
30	Empididae	lineal	TVU	1
33	Empididae	lineal	TVU	1
37	Empididae	lineal	TVU	3
9	Gymnosoma	lineal	EFL	1
30	Gymnosoma	lineal	EFL	2
2	Mosca_petita_1	lineal	ROF	1
5	Mosca_petita_2	lineal	TVU	1
28	Mosca_petita_3	lineal	ROF	1
14	Eurydema_oleracea	lineal	EFL	2
40	Hadrodemus_m-flavum	lineal	TVU	1
17	Heteropter_marró_sense_punts	lineal	EFL	1
40	Miridae_1	lineal	ROF	2
4	Miridae_2	lineal	ROF	1
34	Miridae_3	lineal	HOE	1
14	Apis	lineal	CAL	1
37	Apis	lineal	CAL	4
32	Apis	lineal	CSA	3
33	Apis	lineal	CSA	4
38	Apis	lineal	CSA	2
39	Apis	lineal	CSA	1
7	Apis	lineal	CSP	1
2	Apis	lineal	EFL	1
5	Apis	lineal	EFL	1
3	Apis	lineal	EMU	1
39	Apis	lineal	FLA	1
25	Apis	lineal	HOE	1
13	Apis	lineal	PRUNUS	3
1	Apis	lineal	ROF	40
2	Apis	lineal	ROF	161
3	Apis	lineal	ROF	120
4	Apis	lineal	ROF	106
5	Apis	lineal	ROF	60
6	Apis	lineal	ROF	19
7	Apis	lineal	ROF	19
8	Apis	lineal	ROF	24
9	Apis	lineal	ROF	69
10	Apis	lineal	ROF	33
11	Apis	lineal	ROF	14
12	Apis	lineal	ROF	27
13	Apis	lineal	ROF	20
14	Apis	lineal	ROF	137
15	Apis	lineal	ROF	47
16	Apis	lineal	ROF	19
17	Apis	lineal	ROF	59
18	Apis	lineal	ROF	58
19	Apis	lineal	ROF	126
20	Apis	lineal	ROF	133
21	Apis	lineal	ROF	35
22	Apis	lineal	ROF	20
23	Apis	lineal	ROF	93
24	Apis	lineal	ROF	184
25	Apis	lineal	ROF	57
26	Apis	lineal	ROF	2
27	Apis	lineal	ROF	11
28	Apis	lineal	ROF	1
30	Apis	lineal	ROF	70
31	Apis	lineal	ROF	24
32	Apis	lineal	ROF	66
33	Apis	lineal	ROF	34
34	Apis	lineal	ROF	1
36	Apis	lineal	ROF	11
37	Apis	lineal	ROF	13
38	Apis	lineal	ROF	21
39	Apis	lineal	ROF	8
40	Apis	lineal	ROF	13
1	Apis	lineal	TVU	3
2	Apis	lineal	TVU	4
4	Apis	lineal	TVU	10
5	Apis	lineal	TVU	4
6	Apis	lineal	TVU	1
7	Apis	lineal	TVU	10
8	Apis	lineal	TVU	2
9	Apis	lineal	TVU	2
11	Apis	lineal	TVU	4
12	Apis	lineal	TVU	3
13	Apis	lineal	TVU	2
14	Apis	lineal	TVU	4
15	Apis	lineal	TVU	1
16	Apis	lineal	TVU	9
19	Apis	lineal	TVU	14
20	Apis	lineal	TVU	2
