Parcela	Nom_definitiu	Codi_planta	Frequencia
30	Lasioglossum_interruptum	ROF	1
30	Lobonyx_aeneus	ROF	1
30	Oxythyrea_funesta	ROF	1
31	Apis	ROF	24
31	Aplocnemus_calidus	ROF	1
31	Attalus_pictus	ROF	7
31	Chrysotoxum_cautum	ROF	1
31	Clanoptilus_abdominalis	ROF	1
31	Dasytes_nigroaeneus	ROF	4
31	Lasioglossum_transitorium_planulum	ROF	1
31	Mosca_3	ROF	1
31	Oxythyrea_funesta	ROF	4
31	Rodanthidium_sticticum	ROF	1
32	Andrena_angustior_impressa	ROF	1
32	Anthophora_dispar	ROF	2
32	Apis	ROF	66
32	Bombus_terrestris	ROF	1
33	Andrena_angustior_impressa	ROF	2
33	Apis	ROF	34
34	Anthophora_acervorum	ROF	1
34	Apis	ROF	1
34	Aplocnemus_calidus	ROF	1
34	Clanoptilus_abdominalis	ROF	1
34	Oxythyrea_funesta	ROF	1
35	Anthophora_dispar	ROF	1
36	Apis	ROF	11
36	Lasioglossum_mediterraneum	ROF	1
36	Oxythyrea_funesta	ROF	3
37	Anthophora_dispar	ROF	1
37	Apis	ROF	13
37	Bombus_terrestris	ROF	3
37	Bombylius_sp_1	ROF	1
37	Chrysotoxum_cautum	ROF	1
37	Clanoptilus_abdominalis	ROF	1
37	Tropinota_squalida	ROF	1
38	Andrena_angustior_impressa	ROF	2
38	Apis	ROF	21
38	Dasytes_nigroaeneus	ROF	1
38	Lasioglossum_transitorium_planulum	ROF	1
38	Oxythyrea_funesta	ROF	1
39	Apis	ROF	8
39	Mosca_3	ROF	1
39	Oxythyrea_funesta	ROF	1
39	Rodanthidium_sticticum	ROF	1
39	Tropinota_squalida	ROF	2
40	Apis	ROF	13
40	Bombylius_discolor	ROF	1
40	Miridae_1	ROF	2
40	Mosca_poc_peluda_1	ROF	1
40	Oxythyrea_funesta	ROF	1
37	Anaspis	SHI	1
1	Apis	TVUF	3
1	Lasioglossum_malachurum	TVUF	1
1	Pseudophilotes_panoptes	TVUF	1
2	Apis	TVUF	4
2	Empididae	TVUF	1
3	Empididae	TVUF	5
3	Chalcididae_1	TVUF	1
3	Chalcididae_3	TVUF	1
4	Apis	TVUF	10
4	Hylaeus_hyalinatus	TVUF	1
4	Lasioglossum_transitorium_planulum	TVUF	1
4	Pseudophilotes_panoptes	TVUF	1
4	Sarcophagidae_1	TVUF	1
5	Apis	TVUF	4
5	Nomada_sheppardana	TVUF	1
5	Lasioglossum_transitorium_planulum	TVUF	4
6	Apis	TVUF	1
6	Lasioglossum_mediterraneum	TVUF	1
7	Adela_aldrovandella	TVUF	2
7	Apis	TVUF	10
7	Calliphoridae_3	TVUF	1
7	Empididae	TVUF	3
7	Hylaeus_garrulus	TVUF	1
7	Tropinota_squalida	TVUF	1
8	Apis	TVUF	2
8	Chamaesyrphus	TVUF	2
8	Nomada_1	TVUF	1
8	Lasioglossum_transitorium_planulum	TVUF	1
8	Pseudophilotes_panoptes	TVUF	1
9	Apis	TVUF	2
9	Hylaeus_garrulus	TVUF	1
9	Lasioglossum_transitorium_planulum	TVUF	2
9	Sarcophagidae_4	TVUF	1
10	Andrena_djelfensis	TVUF	2
11	Apis	TVUF	4
11	Chamaesyrphus	TVUF	1
11	Empididae	TVUF	2
11	Fals_conòpid	TVUF	1
12	Apis	TVUF	3
12	Polistes_gallicus	TVUF	1
12	Lasioglossum_transitorium_planulum	TVUF	1
13	Apis	TVUF	2
13	Chrysotoxum_intermedium	TVUF	1
13	Lasioglossum_transitorium_planulum	TVUF	1
13	Pseudophilotes_panoptes	TVUF	1
13	Sarcophagidae_1	TVUF	1
14	Andrena_djelfensis	TVUF	1
14	Andrena_nigroaenea	TVUF	1
14	Apis	TVUF	4
14	Lasioglossum_transitorium_planulum	TVUF	1
14	Pseudophilotes_panoptes	TVUF	1
14	Sarcophagidae_4	TVUF	1
15	Apis	TVUF	1
15	Ceratina_cyanea	TVUF	1
15	Chrysotoxum_cautum	TVUF	1
16	Andrena_nigroaenea	TVUF	1
16	Apis	TVUF	9
16	Lasioglossum_interruptum	TVUF	1
16	Pseudophilotes_panoptes	TVUF	1
16	Sarcophagidae_4	TVUF	2
17	Osmia_rufohirta	TVUF	1
18	Gasteruption_1	TVUF	1
18	Euodynerus_bidentoides	TVUF	1
18	Hylaeus_garrulus	TVUF	1
18	Hylaeus_hyalinatus	TVUF	4
18	Hylaeus_sp_1	TVUF	1
18	Braconidae	TVUF	1
19	Adela_aldrovandella	TVUF	1
19	Andrena_nigroaenea	TVUF	2
19	Apis	TVUF	14
19	Eumenes_coarctatus	TVUF	1
